model,sku,content,score,creation_time,user_level,reply_count,useful_count,category,sentiment,key_point,key_point_en
iPhone 17系列,xhs_comment,17现在在国内的版本还是双卡双待吗？,3,2026-01-25,加拿大,1,2,purchase_decision,neutral,确认iPhone17双卡配置,Confirming iPhone 17 dual SIM
iPhone 17系列,xhs_comment,纠结14pm电池还有77换不换17，还是等18，关键17p pm实在太丑了[哭惹R],3,2025-09-22,江苏,7,2,purchase_decision,negative,14pm电池77%纠结换17pm外观,iPhone 14 PM battery 77% hesitant 17 PM appearance
iPhone 17系列,xhs_comment,17和17p的区别在哪啊 除了长焦,3,2026-03-13,河南,0,0,purchase_decision,neutral,17和17P区别咨询,17 and 17P differences consultation
iPhone 17系列,xhs_comment,买17基础 与15pm一起双持推荐吗[哭惹R]还是直接换掉15pm,3,2025-09-25,山东,7,4,purchase_decision,neutral,17基础和15pm双持可行性,iPhone 17 base and 15 PM dual-use feasible
iPhone 17系列,xhs_comment,安卓内存用到这个程度，苹果256会不会不够用呀 友友们,3,2026-04-28,云南,2,0,purchase_decision,neutral,256存储够不够用的疑虑,Concerns about 256GB storage capacity
iPhone 17系列,xhs_comment,如果买个套一个手机壳，会不会对边框的伤害小一些,3,2025-09-29,安徽,2,9,purchase_decision,neutral,询问手机壳是否能降低损伤,Does phone case reduce damage
iPhone 17系列,xhs_comment,女大生想靠自己13p換17p/17，推哪個[皱眉R],3,2026-02-15,中国台湾,0,0,purchase_decision,neutral,女生13p升17选型建议,Female user 13P upgrade 17 advice
iPhone 17系列,xhs_comment,12换16pro怎么样，个人觉得17pro的外观不好看[捂脸R],3,2025-09-25,广东,5,1,purchase_decision,negative,"12换16pro,17pro外观不好看","12 to 16Pro, 17Pro design bad"
iPhone 17系列,xhs_comment,这是17Pro（Max）啊[捂脸R],3,2025-09-26,安徽,0,1,purchase_decision,neutral,推测手机型号,Speculate about phone model
iPhone 17系列,xhs_comment,pro和pro max是不是没什么大区别,3,2025-11-23,上海,1,26,purchase_decision,neutral,pro和pro max差异咨询,Pro and Pro Max differences consultation
iPhone 17系列,xhs_comment,不建议小米14换苹果 我今天才换超级不习惯 苹果不会用就像个搬砖 很多地方都没有小米好用 特别是那些快捷指令 我的14除了卡顿其他都很好用 特别是更新澎湃3后 我14回收后我就后悔了[哭惹R],3,2026-01-12,重庆,0,2,purchase_decision,negative,小米换苹果不习惯，后悔了,"Switched Mi to iPhone, uncomfortable, regret"
